id,language,sentence
1,english,I like to eat pizza
2,spanish,Me gusta comer pizza
3,portuguese,Eu gosto de comer pizza
4,german,Ich mag Pizza essen
5,italian,Mi piace mangiare la pizza
6,russian,Я люблю есть пиццу
7,bulgarian,Харесвам да ям пица
8,french,J'aime manger de la pizza
9,japanese,私はピザを食べるのが好きです
10,chinese,我喜欢吃披萨
11,english,how are you
12,spanish,¿Cómo estás?
13,portuguese,Como você está?
14,german,Wie geht es dir?
15,italian,Come stai?
16,russian,Как дела?
17,bulgarian,Как си е
18,french,Comment ça va?
19,japanese,あなたは元気ですか？
20,chinese,你还好吗？
